,X,Y,Capa,Floor
0,117,74,10,2
1,387,44,10,0
2,576,208,10,1
3,179,118,10,2
4,232,119,10,0
5,299,161,10,1
6,318,192,10,2
7,315,247,10,0
8,311,339,10,1
9,311,374,10,2
10,290,449,10,0
11,248,483,10,1
12,203,487,10,2
13,166,495,10,0
14,168,475,10,1
15,169,388,10,2
16,169,388,10,0
17,154,366,10,1
18,134,284,10,2
19,145,264,10,0
20,202,249,10,1
21,260,219,10,2
22,286,287,10,0
23,289,345,10,1
24,301,466,10,2
25,368,387,10,0
26,432,422,10,1
27,427,473,10,2
28,451,491,10,0
29,479,438,10,1
30,561,399,10,2
31,579,399,10,0
32,640,410,10,1
33,755,436,10,2
34,762,439,10,0
35,753,521,10,1
36,694,499,10,2
37,575,501,10,0
38,531,477,10,1
39,614,475,10,2
40,846,453,10,0
41,831,468,10,1
42,866,502,10,2
43,896,498,10,0
44,943,482,10,1
45,956,464,10,2
46,965,407,10,0
47,962,382,10,1
48,940,351,10,2
49,900,336,10,0
50,842,308,10,1
51,855,275,10,2
52,923,231,10,0
53,944,217,10,1
54,963,207,10,2
55,971,199,10,0
56,977,252,10,1
57,933,256,10,2
58,857,200,10,0
59,808,175,10,1
60,811,145,10,2
61,884,106,10,0
62,902,105,10,1
63,946,109,10,2
64,968,121,10,0
65,852,133,10,1
66,441,190,10,2
67,429,209,10,0
68,500,287,10,1
69,617,260,10,2
