,X,Y,UFlow,DFlow,Floor
0,123,109,0.5,0.5,3
1,124,143,0.5,0.5,0
2,124,143,0.5,0.5,1
3,124,143,0.5,0.5,2
4,178,107,0.5,0.5,3
5,178,107,0.5,0.5,0
6,178,107,0.5,0.5,1
7,272,104,0.5,0.5,2
8,272,104,0.5,0.5,3
9,272,104,0.5,0.5,0
10,272,104,0.5,0.5,1
11,331,104,0.5,0.5,2
12,331,104,0.5,0.5,3
13,331,104,0.5,0.5,0
14,332,104,0.5,0.5,1
15,452,94,0.5,0.5,2
16,412,94,0.5,0.5,3
17,420,126,0.5,0.5,0
18,428,168,0.5,0.5,1
19,436,222,0.5,0.5,2
20,435,235,0.5,0.5,3
21,344,233,0.5,0.5,0
22,343,226,0.5,0.5,1
23,176,216,0.5,0.5,2
24,175,221,0.5,0.5,3
25,546,214,0.5,0.5,0
26,547,214,0.5,0.5,1
27,575,236,0.5,0.5,2
28,526,248,0.5,0.5,3
29,685,229,0.5,0.5,0
30,685,226,0.5,0.5,1
31,649,211,0.5,0.5,2
32,729,234,0.5,0.5,3
33,774,239,0.5,0.5,0
34,871,219,0.5,0.5,1
35,833,206,0.5,0.5,2
36,773,101,0.5,0.5,3
37,773,101,0.5,0.5,0
38,853,98,0.5,0.5,1
39,853,98,0.5,0.5,2
40,853,98,0.5,0.5,3
41,837,136,0.5,0.5,0
42,837,136,0.5,0.5,1
43,837,136,0.5,0.5,2
44,514,161,0.5,0.5,3
45,457,161,0.5,0.5,0
46,431,218,0.5,0.5,1
