,X,Y,Capa,Floor
0,96,106,10,3
1,96,106,10,0
2,116,147,10,1
3,116,173,10,2
4,122,222,10,3
5,154,513,10,0
6,179,510,10,1
7,223,504,10,2
8,281,498,10,3
9,360,455,10,0
10,404,407,10,1
11,417,356,10,2
12,485,273,10,3
13,511,180,10,0
14,511,116,10,1
15,506,115,10,2
16,553,367,10,3
17,566,432,10,0
18,524,386,10,1
19,616,308,10,2
20,639,309,10,3
21,628,144,10,0
22,598,169,10,1
23,716,193,10,2
24,731,94,10,3
25,798,213,10,0
26,939,226,10,1
27,1014,148,10,2
28,969,106,10,3
29,1116,89,10,0
30,1146,176,10,1
31,1021,498,10,2
32,973,535,10,3
33,862,629,10,0
34,665,599,10,1
35,786,524,10,2
36,1052,381,10,3
37,1078,433,10,0
38,1052,502,10,1
39,374,183,10,2
40,321,251,10,3
