,X,Y,Capa,Floor
0,422,136,10,3
1,514,150,10,0
2,689,179,10,1
3,726,214,10,2
4,723,251,10,3
5,592,308,10,0
6,548,320,10,1
7,102,122,10,2
8,151,140,10,3
9,176,161,10,0
10,164,191,10,1
11,141,200,10,2
12,217,221,10,3
13,234,189,10,0
14,227,131,10,1
15,285,135,10,2
16,317,176,10,3
17,316,215,10,0
18,318,293,10,1
19,320,386,10,2
20,285,461,10,3
21,154,454,10,0
22,118,462,10,1
23,202,535,10,2
24,347,559,10,3
25,516,565,10,0
26,679,563,10,1
27,759,397,10,2
28,758,399,10,3
29,758,399,10,0
30,630,390,10,1
31,630,390,10,2
32,630,390,10,3
33,630,426,10,0
34,630,426,10,1
35,630,426,10,2
36,720,443,10,3
37,720,443,10,0
38,720,443,10,1
39,766,474,10,2
40,766,474,10,3
41,766,474,10,0
42,766,474,10,1
43,766,474,10,2
44,642,485,10,3
45,639,485,10,0
46,638,485,10,1
47,638,485,10,2
48,588,482,10,3
49,548,485,10,0
50,520,485,10,1
51,429,489,10,2
52,393,490,10,3
53,359,490,10,0
54,219,478,10,1
55,150,480,10,2
56,141,465,10,3
57,143,449,10,0
58,164,353,10,1
59,181,338,10,2
60,186,304,10,3
61,197,256,10,0
