,X,Y,UFlow,DFlow,Floor
0,112,106,0.5,0.5,1
1,139,113,0.5,0.5,2
2,174,119,0.5,0.5,3
3,200,121,0.5,0.5,0
4,125,151,0.5,0.5,1
5,140,153,0.5,0.5,2
6,166,156,0.5,0.5,3
7,176,156,0.5,0.5,0
8,203,153,0.5,0.5,1
9,239,119,0.5,0.5,2
10,248,110,0.5,0.5,3
11,324,110,0.5,0.5,0
12,364,111,0.5,0.5,1
13,385,135,0.5,0.5,2
14,375,166,0.5,0.5,3
15,368,196,0.5,0.5,0
16,324,194,0.5,0.5,1
17,272,193,0.5,0.5,2
18,241,177,0.5,0.5,3
19,262,157,0.5,0.5,0
20,176,179,0.5,0.5,1
21,140,185,0.5,0.5,2
22,110,179,0.5,0.5,3
23,143,178,0.5,0.5,0
24,158,193,0.5,0.5,1
25,268,192,0.5,0.5,2
26,210,157,0.5,0.5,3
27,156,152,0.5,0.5,0
28,169,111,0.5,0.5,1
29,253,110,0.5,0.5,2
