,X,Y,Capa,Floor
0,104,57,10,2
1,104,57,10,3
2,118,59,10,0
3,156,63,10,1
4,159,75,10,2
5,152,103,10,3
6,114,101,10,0
7,86,103,10,1
8,87,127,10,2
9,96,149,10,3
10,116,171,10,0
11,123,189,10,1
12,92,214,10,2
13,68,206,10,3
14,68,219,10,0
15,65,303,10,1
16,66,327,10,2
17,73,364,10,3
18,134,374,10,0
19,145,371,10,1
20,169,344,10,2
21,167,297,10,3
22,165,257,10,0
23,160,273,10,1
24,144,344,10,2
25,135,389,10,3
26,91,422,10,0
27,76,434,10,1
28,74,469,10,2
29,90,488,10,3
30,153,502,10,0
31,192,503,10,1
32,190,473,10,2
33,189,437,10,3
34,134,507,10,0
35,114,537,10,1
36,82,537,10,2
37,72,555,10,3
38,84,562,10,0
39,138,565,10,1
40,194,578,10,2
41,201,552,10,3
42,236,544,10,0
43,242,538,10,1
44,268,538,10,2
45,283,537,10,3
46,317,539,10,0
47,325,541,10,1
48,344,546,10,2
49,365,563,10,3
50,369,562,10,0
51,337,566,10,1
52,321,567,10,2
53,312,562,10,3
54,310,501,10,0
55,337,493,10,1
56,537,491,10,2
57,547,492,10,3
58,577,496,10,0
59,503,582,10,1
60,475,573,10,2
61,474,541,10,3
62,515,543,10,0
63,585,550,10,1
64,625,555,10,2
65,630,555,10,3
66,658,565,10,0
67,706,560,10,1
68,702,546,10,2
69,750,547,10,3
70,806,558,10,0
71,821,565,10,1
72,763,579,10,2
73,731,589,10,3
74,842,553,10,0
75,865,553,10,1
76,970,553,10,2
77,972,573,10,3
78,869,586,10,0
79,1015,562,10,1
80,1016,552,10,2
81,1095,548,10,3
82,1113,580,10,0
83,1086,579,10,1
84,1071,590,10,2
85,480,424,10,3
86,428,408,10,0
87,380,394,10,1
88,338,383,10,2
89,312,405,10,3
90,290,419,10,0
91,254,328,10,1
92,237,235,10,2
93,249,203,10,3
94,357,209,10,0
95,382,167,10,1
96,520,171,10,2
97,587,175,10,3
98,615,169,10,0
99,673,185,10,1
100,682,165,10,2
101,772,182,10,3
102,787,199,10,0
103,785,247,10,1
104,764,233,10,2
105,747,216,10,3
106,868,189,10,0
107,871,164,10,1
108,977,166,10,2
109,1038,183,10,3
110,1111,232,10,0
111,1153,308,10,1
112,1173,397,10,2
113,1128,422,10,3
114,988,423,10,0
115,910,415,10,1
116,887,333,10,2
117,889,249,10,3
118,963,239,10,0
119,1002,239,10,1
120,1100,17,10,2
121,1115,37,10,3
122,1140,84,10,0
123,1180,173,10,1
124,1206,528,10,2
125,1208,545,10,3
126,1192,595,10,0
127,873,42,10,1
128,897,45,10,2
129,947,67,10,3
130,946,82,10,0
131,901,100,10,1
132,800,85,10,2
133,758,50,10,3
134,742,48,10,0
135,776,51,10,1
136,776,51,10,2
137,840,55,10,3
138,782,61,10,0
139,786,101,10,1
140,907,71,10,2
141,912,50,10,3
142,893,117,10,0
143,807,119,10,1
144,730,123,10,2
145,671,118,10,3
146,626,99,10,0
147,611,80,10,1
148,593,57,10,2
149,560,55,10,3
150,620,62,10,0
151,597,69,10,1
152,599,100,10,2
153,527,113,10,3
154,432,117,10,0
155,421,115,10,1
156,418,92,10,2
157,413,57,10,3
158,440,54,10,0
159,512,45,10,1
160,427,95,10,2
161,345,98,10,3
162,314,96,10,0
163,241,122,10,1
164,239,122,10,2
165,301,70,10,3
166,268,52,10,0
167,323,55,10,1
168,198,108,10,2
169,136,91,10,3
170,61,59,10,0
171,56,123,10,1
172,81,221,10,2
173,72,311,10,3
174,78,371,10,0
