,X,Y,UFlow,DFlow,Floor
0,111,138,0.5,0.5,2
1,111,138,0.5,0.5,3
2,111,138,0.5,0.5,0
3,111,139,0.5,0.5,1
4,112,140,0.5,0.5,2
5,178,204,0.5,0.5,3
6,178,204,0.5,0.5,0
7,177,205,0.5,0.5,1
8,249,157,0.5,0.5,2
9,249,157,0.5,0.5,3
10,249,157,0.5,0.5,0
11,295,230,0.5,0.5,1
12,304,229,0.5,0.5,2
13,304,229,0.5,0.5,3
14,303,181,0.5,0.5,0
15,220,288,0.5,0.5,1
16,168,275,0.5,0.5,2
17,86,251,0.5,0.5,3
18,86,251,0.5,0.5,0
19,105,335,0.5,0.5,1
20,104,338,0.5,0.5,2
21,163,368,0.5,0.5,3
22,163,368,0.5,0.5,0
23,96,462,0.5,0.5,1
24,96,462,0.5,0.5,2
25,91,436,0.5,0.5,3
26,91,434,0.5,0.5,0
27,146,419,0.5,0.5,1
28,147,418,0.5,0.5,2
29,186,483,0.5,0.5,3
30,186,483,0.5,0.5,0
31,185,485,0.5,0.5,1
32,185,485,0.5,0.5,2
33,185,485,0.5,0.5,3
34,106,481,0.5,0.5,0
35,106,481,0.5,0.5,1
36,335,478,0.5,0.5,2
37,334,478,0.5,0.5,3
38,314,445,0.5,0.5,0
39,284,412,0.5,0.5,1
40,247,436,0.5,0.5,2
41,277,354,0.5,0.5,3
42,292,338,0.5,0.5,0
43,309,273,0.5,0.5,1
44,289,197,0.5,0.5,2
45,322,132,0.5,0.5,3
46,235,192,0.5,0.5,0
47,234,209,0.5,0.5,1
48,238,256,0.5,0.5,2
49,242,285,0.5,0.5,3
50,374,401,0.5,0.5,0
51,386,400,0.5,0.5,1
52,534,403,0.5,0.5,2
53,545,440,0.5,0.5,3
54,465,446,0.5,0.5,0
55,423,446,0.5,0.5,1
56,598,380,0.5,0.5,2
57,614,381,0.5,0.5,3
58,647,386,0.5,0.5,0
59,704,387,0.5,0.5,1
60,783,398,0.5,0.5,2
61,789,411,0.5,0.5,3
62,779,477,0.5,0.5,0
63,766,484,0.5,0.5,1
64,716,487,0.5,0.5,2
65,586,483,0.5,0.5,3
66,557,483,0.5,0.5,0
67,477,493,0.5,0.5,1
68,411,205,0.5,0.5,2
69,415,196,0.5,0.5,3
70,589,151,0.5,0.5,0
71,742,252,0.5,0.5,1
72,525,272,0.5,0.5,2
