,X,Y,UFlow,DFlow,Floor
0,89,108,0.5,0.5,1
1,89,108,0.5,0.5,2
2,92,110,0.5,0.5,0
3,140,345,0.5,0.5,1
4,140,345,0.5,0.5,2
5,139,344,0.5,0.5,0
6,157,498,0.5,0.5,1
7,157,498,0.5,0.5,2
8,157,498,0.5,0.5,0
9,347,446,0.5,0.5,1
10,347,446,0.5,0.5,2
11,369,340,0.5,0.5,0
12,370,339,0.5,0.5,1
13,370,339,0.5,0.5,2
14,385,233,0.5,0.5,0
15,385,233,0.5,0.5,1
16,367,139,0.5,0.5,2
17,317,105,0.5,0.5,0
18,227,288,0.5,0.5,1
19,230,246,0.5,0.5,2
20,244,367,0.5,0.5,0
21,517,365,0.5,0.5,1
22,545,373,0.5,0.5,2
23,560,426,0.5,0.5,0
24,523,441,0.5,0.5,1
25,1007,91,0.5,0.5,2
26,1006,90,0.5,0.5,0
27,1006,90,0.5,0.5,1
28,815,90,0.5,0.5,2
29,815,90,0.5,0.5,0
30,874,234,0.5,0.5,1
31,714,341,0.5,0.5,2
32,695,126,0.5,0.5,0
33,754,93,0.5,0.5,1
34,1122,94,0.5,0.5,2
35,1123,220,0.5,0.5,0
36,1136,175,0.5,0.5,1
37,1136,175,0.5,0.5,2
38,790,558,0.5,0.5,0
39,1034,427,0.5,0.5,1
40,1056,533,0.5,0.5,2
