,X,Y,Capa,Floor
0,76,72,10,1
1,82,73,10,0
2,179,56,10,1
3,179,56,10,0
4,259,56,10,1
5,259,56,10,0
6,405,53,10,1
7,409,53,10,0
8,561,53,10,1
9,578,53,10,0
10,647,47,10,1
11,735,45,10,0
12,748,45,10,1
13,790,41,10,0
14,846,55,10,1
15,869,62,10,0
16,901,59,10,1
17,947,56,10,0
18,960,61,10,1
19,950,94,10,0
20,892,110,10,1
21,856,114,10,0
22,792,111,10,1
23,722,111,10,0
24,609,114,10,1
25,536,111,10,0
26,400,103,10,1
27,276,104,10,0
28,151,113,10,1
29,133,121,10,0
30,122,193,10,1
31,80,255,10,0
32,129,315,10,1
33,145,368,10,0
34,194,383,10,1
35,125,409,10,0
36,94,473,10,1
37,107,494,10,0
38,122,549,10,1
39,161,568,10,0
40,197,542,10,1
41,249,540,10,0
42,373,555,10,1
43,355,563,10,0
44,503,561,10,1
45,636,556,10,0
46,644,579,10,1
47,546,514,10,0
48,485,484,10,1
49,651,491,10,0
50,749,497,10,1
51,732,549,10,0
52,693,553,10,1
53,704,586,10,0
54,793,581,10,1
55,841,571,10,0
56,890,563,10,1
57,941,575,10,0
58,970,565,10,1
59,923,555,10,0
60,1031,545,10,1
61,1091,545,10,0
62,1109,573,10,1
63,1087,498,10,0
64,1032,490,10,1
65,814,509,10,0
66,703,412,10,1
67,740,306,10,0
68,761,300,10,1
69,890,420,10,0
70,912,382,10,1
71,918,236,10,0
72,1039,178,10,1
73,1127,318,10,0
74,1138,387,10,1
75,1082,431,10,0
76,391,254,10,1
77,492,253,10,0
78,555,257,10,1
79,586,300,10,0
80,532,337,10,1
81,408,666,10,0
82,504,676,10,1
83,739,691,10,0
