,X,Y,UFlow,DFlow,Floor
0,40,52,0.5,0.5,1
1,40,52,0.5,0.5,2
2,40,52,0.5,0.5,0
3,229,73,0.5,0.5,1
4,229,73,0.5,0.5,2
5,229,73,0.5,0.5,0
6,254,45,0.5,0.5,1
7,254,45,0.5,0.5,2
8,254,45,0.5,0.5,0
9,336,70,0.5,0.5,1
10,336,70,0.5,0.5,2
11,338,71,0.5,0.5,0
12,372,46,0.5,0.5,1
13,372,46,0.5,0.5,2
14,372,46,0.5,0.5,0
15,489,63,0.5,0.5,1
16,489,63,0.5,0.5,2
17,489,63,0.5,0.5,0
18,534,49,0.5,0.5,1
19,534,49,0.5,0.5,2
20,534,49,0.5,0.5,0
21,659,72,0.5,0.5,1
22,659,72,0.5,0.5,2
23,659,72,0.5,0.5,0
24,703,52,0.5,0.5,1
25,703,52,0.5,0.5,2
26,703,52,0.5,0.5,0
27,942,48,0.5,0.5,1
28,942,48,0.5,0.5,2
29,942,48,0.5,0.5,0
30,36,93,0.5,0.5,1
31,36,93,0.5,0.5,2
32,36,93,0.5,0.5,0
33,179,185,0.5,0.5,1
34,180,184,0.5,0.5,2
35,180,184,0.5,0.5,0
36,64,216,0.5,0.5,1
37,158,220,0.5,0.5,2
38,110,308,0.5,0.5,0
39,81,360,0.5,0.5,1
40,154,370,0.5,0.5,2
41,183,307,0.5,0.5,0
42,149,296,0.5,0.5,1
43,94,265,0.5,0.5,2
44,72,219,0.5,0.5,0
45,63,412,0.5,0.5,1
46,63,412,0.5,0.5,2
47,82,489,0.5,0.5,0
48,82,489,0.5,0.5,1
49,188,418,0.5,0.5,2
50,180,467,0.5,0.5,0
51,115,531,0.5,0.5,1
52,82,532,0.5,0.5,2
53,85,555,0.5,0.5,0
54,99,564,0.5,0.5,1
55,147,565,0.5,0.5,2
56,238,541,0.5,0.5,0
57,245,540,0.5,0.5,1
58,290,545,0.5,0.5,2
59,397,552,0.5,0.5,0
60,407,563,0.5,0.5,1
61,403,580,0.5,0.5,2
62,473,537,0.5,0.5,0
63,473,537,0.5,0.5,1
64,473,537,0.5,0.5,2
65,461,569,0.5,0.5,0
66,461,569,0.5,0.5,1
67,461,569,0.5,0.5,2
68,648,545,0.5,0.5,0
69,648,545,0.5,0.5,1
70,648,545,0.5,0.5,2
71,492,294,0.5,0.5,0
72,492,294,0.5,0.5,1
73,492,294,0.5,0.5,2
74,382,246,0.5,0.5,0
75,686,288,0.5,0.5,1
76,686,288,0.5,0.5,2
77,767,572,0.5,0.5,0
78,668,535,0.5,0.5,1
79,668,535,0.5,0.5,2
80,844,544,0.5,0.5,0
81,844,544,0.5,0.5,1
82,844,544,0.5,0.5,2
83,967,588,0.5,0.5,0
84,967,588,0.5,0.5,1
85,967,588,0.5,0.5,2
86,1020,538,0.5,0.5,0
87,1020,538,0.5,0.5,1
88,1020,538,0.5,0.5,2
89,1107,586,0.5,0.5,0
90,1107,586,0.5,0.5,1
91,1107,586,0.5,0.5,2
92,1139,459,0.5,0.5,0
93,1139,459,0.5,0.5,1
94,1139,459,0.5,0.5,2
95,1119,265,0.5,0.5,0
96,1119,265,0.5,0.5,1
97,1119,265,0.5,0.5,2
98,1098,45,0.5,0.5,0
99,1152,164,0.5,0.5,1
100,1149,50,0.5,0.5,2
101,1106,78,0.5,0.5,0
102,691,216,0.5,0.5,1
103,647,154,0.5,0.5,2
104,647,154,0.5,0.5,0
105,644,151,0.5,0.5,1
106,378,156,0.5,0.5,2
107,378,156,0.5,0.5,0
108,376,155,0.5,0.5,1
109,212,158,0.5,0.5,2
110,212,158,0.5,0.5,0
111,212,158,0.5,0.5,1
