,X,Y,UFlow,DFlow,Floor
0,140,132,0.5,0.5,3
1,140,132,0.5,0.5,0
2,140,132,0.5,0.5,1
3,140,132,0.5,0.5,2
4,240,86,0.5,0.5,3
5,240,86,0.5,0.5,0
6,240,86,0.5,0.5,1
7,316,126,0.5,0.5,2
8,316,126,0.5,0.5,3
9,317,126,0.5,0.5,0
10,157,221,0.5,0.5,1
11,157,221,0.5,0.5,2
12,144,317,0.5,0.5,3
13,146,318,0.5,0.5,0
14,205,298,0.5,0.5,1
15,205,254,0.5,0.5,2
16,235,358,0.5,0.5,3
17,214,353,0.5,0.5,0
18,190,344,0.5,0.5,1
19,159,345,0.5,0.5,2
20,153,352,0.5,0.5,3
21,150,359,0.5,0.5,0
22,149,390,0.5,0.5,1
23,163,397,0.5,0.5,2
24,177,401,0.5,0.5,3
25,197,400,0.5,0.5,0
26,209,385,0.5,0.5,1
27,249,373,0.5,0.5,2
28,305,376,0.5,0.5,3
29,310,405,0.5,0.5,0
30,307,422,0.5,0.5,1
31,287,455,0.5,0.5,2
32,235,473,0.5,0.5,3
33,214,473,0.5,0.5,0
34,197,461,0.5,0.5,1
35,160,448,0.5,0.5,2
36,155,472,0.5,0.5,3
37,162,485,0.5,0.5,0
38,175,506,0.5,0.5,1
39,185,507,0.5,0.5,2
40,266,507,0.5,0.5,3
41,270,507,0.5,0.5,0
42,321,511,0.5,0.5,1
43,347,492,0.5,0.5,2
44,341,446,0.5,0.5,3
45,341,420,0.5,0.5,0
46,376,415,0.5,0.5,1
47,389,435,0.5,0.5,2
48,402,493,0.5,0.5,3
49,423,497,0.5,0.5,0
50,483,497,0.5,0.5,1
51,501,467,0.5,0.5,2
52,494,457,0.5,0.5,3
53,491,445,0.5,0.5,0
54,491,440,0.5,0.5,1
55,529,421,0.5,0.5,2
56,529,451,0.5,0.5,3
57,529,455,0.5,0.5,0
58,605,462,0.5,0.5,1
59,606,461,0.5,0.5,2
60,549,482,0.5,0.5,3
61,551,484,0.5,0.5,0
62,614,505,0.5,0.5,1
63,618,504,0.5,0.5,2
64,775,420,0.5,0.5,3
65,767,443,0.5,0.5,0
66,723,474,0.5,0.5,1
67,841,487,0.5,0.5,2
68,840,459,0.5,0.5,3
69,975,439,0.5,0.5,0
70,973,478,0.5,0.5,1
71,953,489,0.5,0.5,2
72,922,498,0.5,0.5,3
73,856,501,0.5,0.5,0
74,786,351,0.5,0.5,1
75,781,328,0.5,0.5,2
76,781,305,0.5,0.5,3
77,795,267,0.5,0.5,0
78,796,263,0.5,0.5,1
79,838,259,0.5,0.5,2
80,850,256,0.5,0.5,3
81,847,283,0.5,0.5,0
82,847,290,0.5,0.5,1
83,938,273,0.5,0.5,2
84,942,272,0.5,0.5,3
85,986,268,0.5,0.5,0
86,986,267,0.5,0.5,1
87,986,196,0.5,0.5,2
88,987,195,0.5,0.5,3
89,933,137,0.5,0.5,0
90,933,137,0.5,0.5,1
91,893,67,0.5,0.5,2
92,893,67,0.5,0.5,3
93,788,125,0.5,0.5,0
94,788,125,0.5,0.5,1
95,422,124,0.5,0.5,2
96,422,124,0.5,0.5,3
97,626,218,0.5,0.5,0
98,568,290,0.5,0.5,1
99,474,323,0.5,0.5,2
100,506,159,0.5,0.5,3
