,X,Y,Capa,Floor
0,94,97,10,1
1,94,97,10,0
2,108,191,10,1
3,108,193,10,0
4,185,157,10,1
5,183,156,10,0
6,150,134,10,1
7,129,206,10,0
8,140,295,10,1
9,128,377,10,0
10,153,423,10,1
11,165,526,10,0
12,194,538,10,1
13,321,495,10,0
14,338,482,10,1
15,392,401,10,0
16,385,318,10,1
17,244,374,10,0
18,224,236,10,1
19,316,150,10,0
20,385,194,10,1
21,488,207,10,0
22,497,102,10,1
23,602,173,10,0
24,1148,116,10,1
25,854,299,10,0
26,691,299,10,1
27,718,197,10,0
28,704,131,10,1
29,914,203,10,0
30,667,392,10,1
31,625,321,10,0
32,514,421,10,1
33,596,179,10,0
34,620,78,10,1
35,1011,108,10,0
36,938,109,10,1
37,751,205,10,0
