,X,Y,Capa,Floor
0,428,122,10,0
1,573,126,10,1
2,581,134,10,2
3,526,217,10,3
4,547,242,10,0
5,699,271,10,1
6,694,272,10,2
7,519,308,10,3
8,502,316,10,0
9,469,281,10,1
10,467,201,10,2
11,618,138,10,3
12,658,137,10,0
13,687,185,10,1
14,612,282,10,2
15,151,119,10,3
16,147,125,10,0
17,225,166,10,1
18,295,160,10,2
19,317,140,10,3
20,293,106,10,0
21,236,100,10,1
22,306,163,10,2
23,306,174,10,3
24,320,244,10,0
25,227,227,10,1
26,164,216,10,2
27,143,241,10,3
28,214,301,10,0
29,257,292,10,1
30,374,303,10,2
31,322,365,10,3
32,321,371,10,0
33,280,384,10,1
34,219,376,10,2
35,155,352,10,3
36,153,352,10,0
37,153,386,10,1
38,170,392,10,2
39,222,393,10,3
40,208,381,10,0
41,202,370,10,1
42,162,349,10,2
43,159,379,10,3
44,158,454,10,0
45,169,446,10,1
46,186,453,10,2
47,202,474,10,3
48,202,478,10,0
49,182,491,10,1
50,152,495,10,2
51,141,494,10,3
52,264,472,10,0
53,291,494,10,1
54,352,500,10,2
55,353,481,10,3
56,323,425,10,0
57,328,412,10,1
58,388,419,10,2
59,379,459,10,3
60,396,475,10,0
61,427,500,10,1
62,448,499,10,2
63,464,561,10,3
64,499,567,10,0
65,674,579,10,1
66,832,578,10,2
67,1001,581,10,3
68,839,572,10,0
69,720,577,10,1
70,281,559,10,2
71,532,467,10,3
72,616,468,10,0
73,615,475,10,1
74,581,486,10,2
75,563,484,10,3
76,577,480,10,0
77,583,481,10,1
78,521,405,10,2
79,598,397,10,3
80,649,404,10,0
81,722,419,10,1
82,829,385,10,2
83,787,402,10,3
84,723,479,10,0
85,692,477,10,1
86,728,477,10,2
87,847,366,10,3
88,992,393,10,0
89,984,429,10,1
90,876,477,10,2
91,898,348,10,3
92,842,304,10,0
93,869,262,10,1
94,929,260,10,2
95,978,203,10,3
96,928,191,10,0
97,877,192,10,1
98,825,176,10,2
99,828,142,10,3
100,866,83,10,0
101,892,70,10,1
102,964,120,10,2
103,942,140,10,3
104,895,109,10,0
105,881,111,10,1
106,824,147,10,2
107,828,169,10,3
108,841,184,10,0
109,874,213,10,1
110,852,331,10,2
111,827,358,10,3
112,721,460,10,0
113,584,251,10,1
114,397,306,10,2
