,X,Y,UFlow,DFlow,Floor
0,135,123,0.5,0.5,0
1,135,123,0.5,0.5,1
2,243,72,0.5,0.5,0
3,243,72,0.5,0.5,1
4,335,157,0.5,0.5,0
5,341,164,0.5,0.5,1
6,345,247,0.5,0.5,0
7,242,301,0.5,0.5,1
8,202,309,0.5,0.5,0
9,149,311,0.5,0.5,1
10,127,247,0.5,0.5,0
11,129,206,0.5,0.5,1
12,210,204,0.5,0.5,0
13,133,336,0.5,0.5,1
14,190,334,0.5,0.5,0
15,207,383,0.5,0.5,1
16,166,409,0.5,0.5,0
17,130,440,0.5,0.5,1
18,213,435,0.5,0.5,0
19,191,498,0.5,0.5,1
20,148,509,0.5,0.5,0
21,296,493,0.5,0.5,1
22,308,441,0.5,0.5,0
23,335,400,0.5,0.5,1
24,379,418,0.5,0.5,0
25,392,478,0.5,0.5,1
26,443,494,0.5,0.5,0
27,482,490,0.5,0.5,1
28,484,437,0.5,0.5,0
29,586,464,0.5,0.5,1
30,587,496,0.5,0.5,0
31,894,506,0.5,0.5,1
32,813,444,0.5,0.5,0
33,974,425,0.5,0.5,1
34,836,325,0.5,0.5,0
35,847,221,0.5,0.5,1
36,792,182,0.5,0.5,0
37,877,71,0.5,0.5,1
38,882,69,0.5,0.5,0
39,985,131,0.5,0.5,1
40,999,134,0.5,0.5,0
41,487,167,0.5,0.5,1
42,487,167,0.5,0.5,0
43,631,264,0.5,0.5,1
44,634,263,0.5,0.5,0
