,X,Y,UFlow,DFlow,Floor
0,98,124,0.5,0.5,1
1,98,124,0.5,0.5,2
2,98,124,0.5,0.5,0
3,104,207,0.5,0.5,1
4,104,207,0.5,0.5,2
5,104,207,0.5,0.5,0
6,238,198,0.5,0.5,1
7,235,198,0.5,0.5,2
8,234,198,0.5,0.5,0
9,332,126,0.5,0.5,1
10,332,126,0.5,0.5,2
11,332,126,0.5,0.5,0
12,107,362,0.5,0.5,1
13,84,262,0.5,0.5,2
14,169,269,0.5,0.5,0
15,155,348,0.5,0.5,1
16,127,332,0.5,0.5,2
17,96,439,0.5,0.5,0
18,108,420,0.5,0.5,1
19,151,427,0.5,0.5,2
20,159,436,0.5,0.5,0
21,162,461,0.5,0.5,1
22,151,473,0.5,0.5,2
23,111,465,0.5,0.5,0
24,251,481,0.5,0.5,1
25,311,470,0.5,0.5,2
26,331,420,0.5,0.5,0
27,332,407,0.5,0.5,1
28,332,383,0.5,0.5,2
29,332,343,0.5,0.5,0
30,327,312,0.5,0.5,1
31,382,403,0.5,0.5,2
32,520,407,0.5,0.5,0
33,524,405,0.5,0.5,1
34,456,442,0.5,0.5,2
35,605,391,0.5,0.5,0
36,605,391,0.5,0.5,1
37,605,391,0.5,0.5,2
38,770,393,0.5,0.5,0
39,770,393,0.5,0.5,1
40,769,399,0.5,0.5,2
41,667,433,0.5,0.5,0
42,699,408,0.5,0.5,1
43,711,421,0.5,0.5,2
44,758,471,0.5,0.5,0
