,X,Y,Capa,Floor
0,116,144,10,1
1,138,162,10,2
2,156,189,10,0
3,253,141,10,1
4,280,167,10,2
5,288,239,10,0
6,293,293,10,1
7,270,415,10,2
8,282,483,10,0
9,127,458,10,1
10,138,434,10,2
11,530,171,10,0
12,732,318,10,1
13,489,266,10,2
14,393,382,10,0
15,540,401,10,1
16,547,440,10,2
17,451,432,10,0
18,397,486,10,1
19,501,481,10,2
20,578,488,10,0
21,742,484,10,1
22,729,404,10,2
23,620,402,10,0
24,639,422,10,1
25,431,142,10,2
26,579,169,10,0
27,806,191,10,1
28,622,318,10,2
29,506,246,10,0
30,130,267,10,1
31,157,288,10,2
32,161,325,10,0
33,134,450,10,1
34,148,458,10,2
35,276,468,10,0
36,272,413,10,1
37,282,170,10,2
38,453,488,10,0
39,351,554,10,1
