,X,Y,Capa,Floor
0,156,120,10,1
1,220,86,10,0
2,297,93,10,1
3,330,129,10,0
4,339,226,10,1
5,326,296,10,0
6,225,289,10,1
7,145,228,10,0
8,164,364,10,1
9,165,397,10,0
10,196,371,10,1
11,266,362,10,0
12,315,415,10,1
13,311,465,10,0
14,266,463,10,1
15,205,475,10,0
16,309,442,10,1
17,385,399,10,0
18,442,462,10,1
19,577,402,10,0
20,582,469,10,1
21,548,505,10,0
22,600,499,10,1
23,780,464,10,0
24,800,390,10,1
25,899,359,10,0
26,978,466,10,1
27,879,504,10,0
28,975,396,10,1
29,875,357,10,0
30,824,304,10,1
31,896,251,10,0
32,962,260,10,1
33,965,211,10,0
34,927,190,10,1
35,836,167,10,0
36,853,94,10,1
37,889,62,10,0
38,973,130,10,1
