,X,Y,Capa,Floor
0,124,105,10,1
1,124,105,10,2
2,124,105,10,0
3,120,226,10,1
4,120,227,10,2
5,118,223,10,0
6,181,212,10,1
7,182,212,10,2
8,182,212,10,0
9,184,159,10,1
10,215,159,10,2
11,243,163,10,0
12,342,169,10,1
13,552,159,10,2
14,714,170,10,0
15,840,123,10,1
16,818,230,10,2
17,574,233,10,0
18,563,230,10,1
19,421,208,10,2
20,420,210,10,0
21,428,242,10,1
22,449,220,10,2
23,526,202,10,0
24,560,102,10,1
25,560,102,10,2
26,431,97,10,0
27,339,236,10,1
28,339,233,10,2
29,325,201,10,0
30,261,154,10,1
31,261,154,10,2
32,251,212,10,0
33,252,215,10,1
34,255,234,10,2
