,X,Y,Capa,Floor
0,118,104,10,2
1,134,152,10,3
2,176,159,10,0
3,176,159,10,1
4,204,159,10,2
5,221,158,10,3
6,249,155,10,0
7,275,152,10,1
8,345,156,10,2
9,346,156,10,3
10,369,158,10,0
11,409,163,10,1
12,427,163,10,2
13,475,165,10,3
14,485,166,10,0
15,497,167,10,1
16,535,168,10,2
17,578,158,10,3
18,615,154,10,0
19,633,154,10,1
20,663,157,10,2
21,688,158,10,3
22,720,160,10,0
23,738,159,10,1
24,760,157,10,2
25,762,207,10,3
26,673,236,10,0
27,670,227,10,1
28,703,206,10,2
29,834,126,10,3
30,856,108,10,0
31,761,93,10,1
32,857,200,10,2
33,853,224,10,3
34,838,235,10,0
35,831,238,10,1
36,795,240,10,2
37,546,230,10,3
38,544,230,10,0
39,543,224,10,1
40,449,213,10,2
41,449,213,10,3
42,447,213,10,0
43,324,200,10,1
44,345,227,10,2
45,303,248,10,3
46,259,199,10,0
47,293,217,10,1
48,246,243,10,2
49,332,100,10,3
50,350,101,10,0
51,192,225,10,1
52,170,203,10,2
53,188,233,10,3
54,418,164,10,0
55,334,161,10,1
