,X,Y,UFlow,DFlow,Floor
0,127,102,0.5,0.5,1
1,127,102,0.5,0.5,2
2,127,102,0.5,0.5,0
3,123,215,0.5,0.5,1
4,123,215,0.5,0.5,2
5,123,216,0.5,0.5,0
6,177,199,0.5,0.5,1
7,195,231,0.5,0.5,2
8,179,243,0.5,0.5,0
9,271,228,0.5,0.5,1
10,274,205,0.5,0.5,2
11,253,194,0.5,0.5,0
12,258,101,0.5,0.5,1
13,261,94,0.5,0.5,2
14,261,94,0.5,0.5,0
15,349,202,0.5,0.5,1
16,331,236,0.5,0.5,2
17,357,243,0.5,0.5,0
18,421,99,0.5,0.5,1
19,532,96,0.5,0.5,2
20,556,97,0.5,0.5,0
21,786,97,0.5,0.5,1
22,862,102,0.5,0.5,2
23,872,140,0.5,0.5,0
24,808,154,0.5,0.5,1
25,776,119,0.5,0.5,2
26,860,108,0.5,0.5,0
27,860,208,0.5,0.5,1
28,710,239,0.5,0.5,2
29,668,220,0.5,0.5,0
30,541,228,0.5,0.5,1
31,522,204,0.5,0.5,2
32,441,221,0.5,0.5,0
33,441,221,0.5,0.5,1
34,404,208,0.5,0.5,2
35,321,165,0.5,0.5,0
36,256,161,0.5,0.5,1
37,501,158,0.5,0.5,2
38,647,152,0.5,0.5,0
