,X,Y,UFlow,DFlow,Floor
0,40,44,0.5,0.5,1
1,43,73,0.5,0.5,0
2,206,73,0.5,0.5,1
3,236,52,0.5,0.5,0
4,141,67,0.5,0.5,1
5,138,60,0.5,0.5,0
6,48,96,0.5,0.5,1
7,48,96,0.5,0.5,0
8,49,161,0.5,0.5,1
9,50,163,0.5,0.5,0
10,164,177,0.5,0.5,1
11,164,177,0.5,0.5,0
12,226,154,0.5,0.5,1
13,226,154,0.5,0.5,0
14,227,203,0.5,0.5,1
15,227,203,0.5,0.5,0
16,88,356,0.5,0.5,1
17,88,356,0.5,0.5,0
18,61,226,0.5,0.5,1
19,61,226,0.5,0.5,0
20,188,421,0.5,0.5,1
21,188,419,0.5,0.5,0
22,61,411,0.5,0.5,1
23,61,409,0.5,0.5,0
24,61,409,0.5,0.5,1
25,65,498,0.5,0.5,0
26,65,498,0.5,0.5,1
27,74,531,0.5,0.5,0
28,74,531,0.5,0.5,1
29,78,567,0.5,0.5,0
30,77,566,0.5,0.5,1
31,182,567,0.5,0.5,0
32,182,567,0.5,0.5,1
33,208,532,0.5,0.5,0
34,208,532,0.5,0.5,1
35,114,550,0.5,0.5,0
36,114,550,0.5,0.5,1
37,234,535,0.5,0.5,0
38,234,535,0.5,0.5,1
39,235,561,0.5,0.5,0
40,235,561,0.5,0.5,1
41,389,538,0.5,0.5,0
42,389,538,0.5,0.5,1
43,391,567,0.5,0.5,0
44,391,568,0.5,0.5,1
45,450,541,0.5,0.5,0
46,450,541,0.5,0.5,1
47,454,566,0.5,0.5,0
48,454,566,0.5,0.5,1
49,640,538,0.5,0.5,0
50,640,538,0.5,0.5,1
51,639,573,0.5,0.5,0
52,639,573,0.5,0.5,1
53,683,540,0.5,0.5,0
54,677,571,0.5,0.5,1
55,768,567,0.5,0.5,0
56,870,559,0.5,0.5,1
57,952,566,0.5,0.5,0
58,960,582,0.5,0.5,1
59,1071,566,0.5,0.5,0
60,1098,564,0.5,0.5,1
61,1105,585,0.5,0.5,0
62,1107,419,0.5,0.5,1
63,1124,388,0.5,0.5,0
64,1135,342,0.5,0.5,1
65,1083,237,0.5,0.5,0
66,964,167,0.5,0.5,1
67,911,175,0.5,0.5,0
68,888,262,0.5,0.5,1
69,895,379,0.5,0.5,0
70,784,450,0.5,0.5,1
71,700,453,0.5,0.5,0
72,689,371,0.5,0.5,1
73,794,295,0.5,0.5,0
74,801,166,0.5,0.5,1
75,664,176,0.5,0.5,0
76,684,229,0.5,0.5,1
77,395,255,0.5,0.5,0
78,419,284,0.5,0.5,1
79,563,288,0.5,0.5,0
80,604,269,0.5,0.5,1
81,402,443,0.5,0.5,0
82,402,441,0.5,0.5,1
83,395,163,0.5,0.5,0
84,395,163,0.5,0.5,1
85,927,106,0.5,0.5,0
86,927,105,0.5,0.5,1
87,593,108,0.5,0.5,0
88,592,107,0.5,0.5,1
89,268,105,0.5,0.5,0
90,763,52,0.5,0.5,1
91,961,46,0.5,0.5,0
