,X,Y,Capa,Floor
0,138,17,10,2
1,163,19,10,0
2,240,18,10,1
3,1180,72,10,2
4,1175,99,10,0
5,1185,156,10,1
6,1201,640,10,2
7,1190,657,10,0
8,1112,672,10,1
9,927,681,10,2
10,701,665,10,0
11,563,655,10,1
12,489,655,10,2
13,49,57,10,0
14,49,57,10,1
15,65,63,10,2
16,77,61,10,0
17,195,57,10,1
18,203,57,10,2
19,256,45,10,0
20,268,46,10,1
21,308,53,10,2
22,418,50,10,0
23,463,55,10,1
24,469,56,10,2
25,512,57,10,0
26,537,58,10,1
27,563,62,10,2
28,607,62,10,0
29,630,59,10,1
30,715,55,10,2
31,724,55,10,0
32,813,50,10,1
33,874,50,10,2
34,908,50,10,0
35,946,51,10,1
36,990,88,10,2
37,967,101,10,0
38,865,106,10,1
39,742,116,10,2
40,606,120,10,0
41,554,121,10,1
42,414,114,10,2
43,330,110,10,0
44,274,108,10,1
45,187,121,10,2
46,93,129,10,0
47,61,133,10,1
48,78,163,10,2
49,103,157,10,0
50,114,201,10,1
51,87,217,10,2
52,104,246,10,0
53,151,248,10,1
54,165,329,10,2
55,87,358,10,0
56,100,374,10,1
57,123,418,10,2
58,98,427,10,0
59,90,446,10,1
60,99,462,10,2
61,116,479,10,0
62,133,489,10,1
63,168,485,10,2
64,164,437,10,0
65,145,468,10,1
66,140,512,10,2
67,116,549,10,0
68,108,553,10,1
69,112,553,10,2
70,149,557,10,0
71,154,557,10,1
72,178,550,10,2
73,199,496,10,0
74,210,492,10,1
75,314,489,10,2
76,336,496,10,0
77,315,536,10,1
78,293,549,10,2
79,283,569,10,0
80,320,570,10,1
81,365,564,10,2
82,413,564,10,0
83,448,557,10,1
84,480,553,10,2
85,534,540,10,0
86,597,542,10,1
87,638,578,10,2
88,628,582,10,0
89,543,584,10,1
90,655,558,10,2
91,708,558,10,0
92,724,549,10,1
93,813,559,10,2
94,813,566,10,0
95,761,582,10,1
96,793,568,10,2
97,861,552,10,0
98,896,550,10,1
99,963,549,10,2
100,978,576,10,0
101,907,586,10,1
102,1000,567,10,2
103,1061,554,10,0
104,1086,557,10,1
105,1097,580,10,2
106,1066,593,10,0
107,1023,589,10,1
108,1027,570,10,2
109,1057,562,10,0
110,1095,492,10,1
111,1048,487,10,2
112,931,494,10,0
113,821,493,10,1
114,771,491,10,2
115,619,493,10,0
116,573,498,10,1
117,473,498,10,2
118,424,492,10,0
119,379,488,10,1
120,389,282,10,2
121,484,270,10,0
122,530,276,10,1
123,632,299,10,2
124,675,309,10,0
125,799,324,10,1
126,783,352,10,2
127,748,396,10,0
128,743,364,10,1
129,765,180,10,2
130,765,180,10,0
131,438,185,10,1
132,454,185,10,2
133,543,180,10,0
134,286,178,10,1
135,268,199,10,2
136,262,261,10,0
137,267,329,10,1
138,282,394,10,2
139,873,170,10,0
140,892,168,10,1
141,991,156,10,2
142,1036,157,10,0
143,905,237,10,1
144,899,270,10,2
145,889,309,10,0
146,717,398,10,1
147,723,380,10,2
148,758,301,10,0
149,757,248,10,1
150,753,99,10,2
151,857,103,10,0
152,918,103,10,1
153,1018,115,10,2
154,331,117,10,0
