,X,Y,UFlow,DFlow,Floor
0,46,57,0.5,0.5,1
1,46,57,0.5,0.5,2
2,45,56,0.5,0.5,3
3,45,55,0.5,0.5,0
4,187,65,0.5,0.5,1
5,187,65,0.5,0.5,2
6,187,65,0.5,0.5,3
7,187,65,0.5,0.5,0
8,57,108,0.5,0.5,1
9,57,108,0.5,0.5,2
10,57,108,0.5,0.5,3
11,56,107,0.5,0.5,0
12,58,167,0.5,0.5,1
13,58,167,0.5,0.5,2
14,58,167,0.5,0.5,3
15,58,167,0.5,0.5,0
16,50,216,0.5,0.5,1
17,50,216,0.5,0.5,2
18,50,216,0.5,0.5,3
19,50,216,0.5,0.5,0
20,86,375,0.5,0.5,1
21,86,375,0.5,0.5,2
22,85,374,0.5,0.5,3
23,85,374,0.5,0.5,0
24,124,300,0.5,0.5,1
25,125,299,0.5,0.5,2
26,127,299,0.5,0.5,3
27,127,299,0.5,0.5,0
28,237,300,0.5,0.5,1
29,237,300,0.5,0.5,2
30,237,300,0.5,0.5,3
31,237,300,0.5,0.5,0
32,231,176,0.5,0.5,1
33,231,176,0.5,0.5,2
34,230,175,0.5,0.5,3
35,230,175,0.5,0.5,0
36,380,165,0.5,0.5,1
37,380,165,0.5,0.5,2
38,380,165,0.5,0.5,3
39,380,165,0.5,0.5,0
40,594,156,0.5,0.5,1
41,594,156,0.5,0.5,2
42,594,156,0.5,0.5,3
43,594,156,0.5,0.5,0
44,410,252,0.5,0.5,1
45,423,252,0.5,0.5,2
46,632,286,0.5,0.5,3
47,632,286,0.5,0.5,0
48,435,409,0.5,0.5,1
49,436,408,0.5,0.5,2
50,629,421,0.5,0.5,3
51,629,421,0.5,0.5,0
52,691,367,0.5,0.5,1
53,691,367,0.5,0.5,2
54,738,205,0.5,0.5,3
55,738,205,0.5,0.5,0
56,787,247,0.5,0.5,1
57,787,247,0.5,0.5,2
58,750,190,0.5,0.5,3
59,788,162,0.5,0.5,0
60,902,213,0.5,0.5,1
61,898,225,0.5,0.5,2
62,885,268,0.5,0.5,3
63,880,289,0.5,0.5,0
64,880,315,0.5,0.5,1
65,882,343,0.5,0.5,2
66,882,383,0.5,0.5,3
67,911,421,0.5,0.5,0
68,929,437,0.5,0.5,1
69,953,437,0.5,0.5,2
70,1043,438,0.5,0.5,3
71,1051,438,0.5,0.5,0
72,1078,434,0.5,0.5,1
73,1120,422,0.5,0.5,2
74,1126,397,0.5,0.5,3
75,1120,350,0.5,0.5,0
76,1118,304,0.5,0.5,1
77,1087,253,0.5,0.5,2
78,1036,205,0.5,0.5,3
79,1001,181,0.5,0.5,0
80,978,175,0.5,0.5,1
81,1022,109,0.5,0.5,2
82,1022,109,0.5,0.5,3
83,1023,109,0.5,0.5,0
84,1122,487,0.5,0.5,1
85,1123,486,0.5,0.5,2
86,1123,486,0.5,0.5,3
87,1121,561,0.5,0.5,0
88,1121,561,0.5,0.5,1
89,1121,561,0.5,0.5,2
90,1119,562,0.5,0.5,3
91,1008,540,0.5,0.5,0
92,1008,540,0.5,0.5,1
93,1008,540,0.5,0.5,2
94,1008,540,0.5,0.5,3
95,982,588,0.5,0.5,0
96,982,588,0.5,0.5,1
97,982,588,0.5,0.5,2
98,940,592,0.5,0.5,3
99,891,588,0.5,0.5,0
100,868,572,0.5,0.5,1
101,849,557,0.5,0.5,2
102,840,538,0.5,0.5,3
103,790,548,0.5,0.5,0
104,789,545,0.5,0.5,1
105,750,540,0.5,0.5,2
106,735,540,0.5,0.5,3
107,707,542,0.5,0.5,0
108,687,545,0.5,0.5,1
109,682,564,0.5,0.5,2
110,684,577,0.5,0.5,3
111,691,590,0.5,0.5,0
112,714,589,0.5,0.5,1
113,748,590,0.5,0.5,2
114,796,591,0.5,0.5,3
115,642,582,0.5,0.5,0
116,618,579,0.5,0.5,1
117,589,579,0.5,0.5,2
118,548,581,0.5,0.5,3
119,529,585,0.5,0.5,0
120,513,588,0.5,0.5,1
121,479,587,0.5,0.5,2
122,468,586,0.5,0.5,3
123,458,581,0.5,0.5,0
124,448,568,0.5,0.5,1
125,443,552,0.5,0.5,2
126,453,534,0.5,0.5,3
127,461,528,0.5,0.5,0
128,482,526,0.5,0.5,1
129,546,525,0.5,0.5,2
130,548,521,0.5,0.5,3
131,547,507,0.5,0.5,0
132,533,498,0.5,0.5,1
133,516,496,0.5,0.5,2
134,493,500,0.5,0.5,3
135,433,497,0.5,0.5,0
136,388,496,0.5,0.5,1
137,353,499,0.5,0.5,2
138,329,506,0.5,0.5,3
139,331,527,0.5,0.5,0
140,331,535,0.5,0.5,1
141,332,548,0.5,0.5,2
142,316,562,0.5,0.5,3
143,312,564,0.5,0.5,0
144,272,563,0.5,0.5,1
145,242,548,0.5,0.5,2
146,236,540,0.5,0.5,3
147,229,536,0.5,0.5,0
148,227,553,0.5,0.5,1
149,212,558,0.5,0.5,2
150,208,562,0.5,0.5,3
151,208,563,0.5,0.5,0
152,182,578,0.5,0.5,1
153,161,578,0.5,0.5,2
154,146,576,0.5,0.5,3
155,112,578,0.5,0.5,0
156,97,556,0.5,0.5,1
157,99,542,0.5,0.5,2
158,118,527,0.5,0.5,3
159,124,517,0.5,0.5,0
160,116,511,0.5,0.5,1
161,96,508,0.5,0.5,2
162,86,501,0.5,0.5,3
163,72,462,0.5,0.5,0
164,70,436,0.5,0.5,1
165,89,421,0.5,0.5,2
166,110,412,0.5,0.5,3
167,119,396,0.5,0.5,0
168,99,381,0.5,0.5,1
169,82,372,0.5,0.5,2
170,75,363,0.5,0.5,3
171,70,351,0.5,0.5,0
172,62,304,0.5,0.5,1
173,1105,60,0.5,0.5,2
174,1105,59,0.5,0.5,3
175,1105,59,0.5,0.5,0
176,1106,58,0.5,0.5,1
177,1197,186,0.5,0.5,2
178,1195,185,0.5,0.5,3
179,1194,184,0.5,0.5,0
180,1193,183,0.5,0.5,1
