,X,Y,UFlow,DFlow,Floor
0,131,131,0.5,0.5,2
1,131,131,0.5,0.5,0
2,131,131,0.5,0.5,1
3,236,89,0.5,0.5,2
4,236,89,0.5,0.5,0
5,236,89,0.5,0.5,1
6,317,111,0.5,0.5,2
7,318,112,0.5,0.5,0
8,228,261,0.5,0.5,1
9,228,261,0.5,0.5,2
10,150,223,0.5,0.5,0
11,149,222,0.5,0.5,1
12,195,205,0.5,0.5,2
13,195,205,0.5,0.5,0
14,154,290,0.5,0.5,1
15,154,291,0.5,0.5,2
16,154,291,0.5,0.5,0
17,141,374,0.5,0.5,1
18,132,339,0.5,0.5,2
19,132,339,0.5,0.5,0
20,132,339,0.5,0.5,1
21,205,335,0.5,0.5,2
22,213,390,0.5,0.5,0
23,163,406,0.5,0.5,1
24,134,437,0.5,0.5,2
25,134,437,0.5,0.5,0
26,187,438,0.5,0.5,1
27,187,438,0.5,0.5,2
28,182,489,0.5,0.5,0
29,182,489,0.5,0.5,1
30,208,510,0.5,0.5,2
31,211,510,0.5,0.5,0
32,134,514,0.5,0.5,1
33,134,514,0.5,0.5,2
34,260,503,0.5,0.5,0
35,260,503,0.5,0.5,1
36,331,418,0.5,0.5,2
37,331,418,0.5,0.5,0
38,450,506,0.5,0.5,1
39,450,506,0.5,0.5,2
40,385,494,0.5,0.5,0
41,385,494,0.5,0.5,1
42,527,458,0.5,0.5,2
43,527,458,0.5,0.5,0
44,527,458,0.5,0.5,1
45,730,420,0.5,0.5,2
46,743,471,0.5,0.5,0
47,677,505,0.5,0.5,1
48,666,495,0.5,0.5,2
49,652,454,0.5,0.5,0
50,568,402,0.5,0.5,1
51,501,386,0.5,0.5,2
52,810,436,0.5,0.5,0
53,810,436,0.5,0.5,1
54,820,493,0.5,0.5,2
55,969,495,0.5,0.5,0
56,969,495,0.5,0.5,1
57,964,408,0.5,0.5,2
58,964,408,0.5,0.5,0
59,788,274,0.5,0.5,1
60,788,274,0.5,0.5,2
61,796,340,0.5,0.5,0
62,801,355,0.5,0.5,1
63,931,271,0.5,0.5,2
64,933,270,0.5,0.5,0
65,970,226,0.5,0.5,1
66,970,225,0.5,0.5,2
67,970,225,0.5,0.5,0
68,807,133,0.5,0.5,1
69,807,133,0.5,0.5,2
70,807,133,0.5,0.5,0
71,885,75,0.5,0.5,1
72,885,75,0.5,0.5,2
73,885,75,0.5,0.5,0
74,962,129,0.5,0.5,1
75,970,137,0.5,0.5,2
76,876,183,0.5,0.5,0
77,881,321,0.5,0.5,1
