Channels number ;6
Perturbation : 4
Instance name ;|I| ;|J|;RH1 UB;RH1 time;RH2 UB;RH2 time
optim_instances/Instance_MAP1A_0_1.dat;19;13;30;0.087;30;0.087
optim_instances/Instance_MAP1A_0_2.dat;19;13;40;0.056;40;0.056
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;0.055;30;0.055
optim_instances/Instance_MAP1A_1_1.dat;13;23;20;0.031;20;0.031
optim_instances/Instance_MAP1A_1_2.dat;13;23;40;0.029;40;0.029
optim_instances/Instance_MAP1A_1_3.dat;13;23;20;0.038;20;0.038
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;0.171;40;0.171
optim_instances/Instance_MAP1A_2_2.dat;30;24;70;0.088;70;0.088
optim_instances/Instance_MAP1A_2_3.dat;30;24;40;0.308;40;0.308
optim_instances/Instance_MAP2A_0_1.dat;22;24;50;0.057;50;0.057
optim_instances/Instance_MAP2A_0_2.dat;22;24;500;0.055;500;0.055
optim_instances/Instance_MAP2A_0_3.dat;22;24;30;0.068;30;0.068
optim_instances/Instance_MAP2A_1_1.dat;39;35;90;0.146;90;0.146
optim_instances/Instance_MAP2A_1_2.dat;39;35;790;0.092;790;0.092
optim_instances/Instance_MAP2A_1_3.dat;39;35;60;0.266;60;0.266
optim_instances/Instance_MAP2A_2_1.dat;47;56;80;0.18;80;0.18
optim_instances/Instance_MAP2A_2_2.dat;47;56;270;0.163;270;0.163
optim_instances/Instance_MAP2A_2_3.dat;47;56;60;0.581;60;0.581
optim_instances/Instance_MAP3A_0_1.dat;18;25;40;0.045;40;0.045
optim_instances/Instance_MAP3A_0_2.dat;18;25;270;0.034;270;0.034
optim_instances/Instance_MAP3A_0_3.dat;18;25;30;0.051;30;0.051
optim_instances/Instance_MAP3A_1_1.dat;45;40;60;0.352;60;0.352
optim_instances/Instance_MAP3A_1_2.dat;45;40;120;0.249;120;0.249
optim_instances/Instance_MAP3A_1_3.dat;45;40;60;0.407;60;0.407
optim_instances/Instance_MAP3A_2_1.dat;73;62;120;1.055;110;61.556
optim_instances/Instance_MAP3A_2_2.dat;73;62;1090;1.634;890;4.863
optim_instances/Instance_MAP3A_2_3.dat;73;62;1500;100.427;110;160.85
optim_instances/Instance_MAP4A_0_1.dat;26;38;40;0.047;40;0.047
optim_instances/Instance_MAP4A_0_2.dat;26;38;190;0.082;190;0.082
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;0.104;40;0.104
optim_instances/Instance_MAP4A_1_1.dat;41;36;160;0.1;160;0.1
optim_instances/Instance_MAP4A_1_2.dat;41;36;1090;0.086;1090;0.086
optim_instances/Instance_MAP4A_1_3.dat;41;36;370;0.135;370;0.135
optim_instances/Instance_MAP4A_2_1.dat;56;41;170;0.22;170;0.22
optim_instances/Instance_MAP4A_2_2.dat;56;41;1130;0.147;1130;0.147
optim_instances/Instance_MAP4A_2_3.dat;56;41;90;0.512;90;0.512
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;0.134;130;0.134
optim_instances/Instance_MAP5A_0_2.dat;45;39;620;0.12;620;0.12
optim_instances/Instance_MAP5A_0_3.dat;45;39;570;0.802;570;0.802
optim_instances/Instance_MAP5A_1_1.dat;78;70;150;0.484;150;0.484
optim_instances/Instance_MAP5A_1_2.dat;78;70;210;0.407;210;0.407
optim_instances/Instance_MAP5A_1_3.dat;78;70;120;0.904;120;0.904
optim_instances/Instance_MAP5A_2_1.dat;101;115;210;0.697;210;0.697
optim_instances/Instance_MAP5A_2_2.dat;101;115;440;0.837;440;0.837
optim_instances/Instance_MAP5A_2_3.dat;101;115;180;1.853;180;1.853
optim_instances/Instance_MAP6A_0_1.dat;92;84;160;1.017;160;1.017
optim_instances/Instance_MAP6A_0_2.dat;92;84;1160;0.879;1160;0.879
optim_instances/Instance_MAP6A_0_3.dat;92;84;820;38.138;220;93.877
optim_instances/Instance_MAP6A_1_1.dat;112;155;430;1.379;430;1.379
optim_instances/Instance_MAP6A_1_2.dat;112;155;2840;0.903;2840;0.903
optim_instances/Instance_MAP6A_1_3.dat;112;155;680;2.021;680;2.021
optim_instances/Instance_MAP6A_2_1.dat;181;175;350;8.516;350;8.516
optim_instances/Instance_MAP6A_2_2.dat;181;175;2790;100.459;2790;387.406
optim_instances/Instance_MAP6A_2_3.dat;181;175;2820;102.024;2820;404.49
optim_instances/Instance_MAP1B_0_1.dat;19;13;30;0.053;30;0.053
optim_instances/Instance_MAP1B_0_2.dat;19;13;140;0.068;140;0.068
optim_instances/Instance_MAP1B_0_3.dat;19;13;30;0.069;30;0.069
optim_instances/Instance_MAP1B_1_1.dat;13;23;30;0.028;30;0.028
optim_instances/Instance_MAP1B_1_2.dat;13;23;50;0.024;50;0.024
optim_instances/Instance_MAP1B_1_3.dat;13;23;20;0.03;20;0.03
optim_instances/Instance_MAP1B_2_1.dat;30;24;40;0.092;40;0.092
optim_instances/Instance_MAP1B_2_2.dat;30;24;80;0.109;80;0.109
optim_instances/Instance_MAP1B_2_3.dat;30;24;40;0.318;40;0.318
optim_instances/Instance_MAP2B_0_1.dat;22;24;50;0.06;50;0.06
optim_instances/Instance_MAP2B_0_2.dat;22;24;280;0.044;280;0.044
optim_instances/Instance_MAP2B_0_3.dat;22;24;30;0.062;30;0.062
optim_instances/Instance_MAP2B_1_1.dat;39;35;100;0.102;100;0.102
optim_instances/Instance_MAP2B_1_2.dat;39;35;860;0.096;860;0.096
optim_instances/Instance_MAP2B_1_3.dat;39;35;60;0.285;60;0.285
optim_instances/Instance_MAP2B_2_1.dat;47;56;80;0.4;80;0.4
optim_instances/Instance_MAP2B_2_2.dat;47;56;280;0.201;280;0.201
optim_instances/Instance_MAP2B_2_3.dat;47;56;60;0.389;60;0.389
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;0.038;50;0.038
optim_instances/Instance_MAP3B_0_2.dat;18;25;300;0.042;300;0.042
optim_instances/Instance_MAP3B_0_3.dat;18;25;30;0.331;30;0.331
optim_instances/Instance_MAP3B_1_1.dat;45;40;60;0.242;60;0.242
optim_instances/Instance_MAP3B_1_2.dat;45;40;240;0.339;240;0.339
optim_instances/Instance_MAP3B_1_3.dat;45;40;60;0.485;60;0.485
optim_instances/Instance_MAP3B_2_1.dat;73;62;130;1.163;120;61.68
optim_instances/Instance_MAP3B_2_2.dat;73;62;1160;0.657;1060;3.445
optim_instances/Instance_MAP3B_2_3.dat;73;62;1190;83.922;100;128.732
optim_instances/Instance_MAP4B_0_1.dat;26;38;60;0.059;60;0.059
optim_instances/Instance_MAP4B_0_2.dat;26;38;280;0.051;280;0.051
optim_instances/Instance_MAP4B_0_3.dat;26;38;40;0.081;40;0.081
optim_instances/Instance_MAP4B_1_1.dat;41;36;160;0.261;160;0.261
optim_instances/Instance_MAP4B_1_2.dat;41;36;1270;0.086;1270;0.086
optim_instances/Instance_MAP4B_1_3.dat;41;36;380;0.148;380;0.148
optim_instances/Instance_MAP4B_2_1.dat;56;41;200;0.2;200;0.2
optim_instances/Instance_MAP4B_2_2.dat;56;41;1340;0.203;1340;0.203
optim_instances/Instance_MAP4B_2_3.dat;56;41;90;0.533;90;0.533
optim_instances/Instance_MAP5B_0_1.dat;45;39;130;0.162;130;0.162
optim_instances/Instance_MAP5B_0_2.dat;45;39;850;0.109;850;0.109
optim_instances/Instance_MAP5B_0_3.dat;45;39;560;0.594;560;0.594
optim_instances/Instance_MAP5B_1_1.dat;78;70;150;0.58;150;0.58
optim_instances/Instance_MAP5B_1_2.dat;78;70;230;0.4;230;0.4
optim_instances/Instance_MAP5B_1_3.dat;78;70;110;1.031;110;1.031
optim_instances/Instance_MAP5B_2_1.dat;101;115;210;0.83;210;0.83
optim_instances/Instance_MAP5B_2_2.dat;101;115;440;0.725;440;0.725
optim_instances/Instance_MAP5B_2_3.dat;101;115;280;1.632;280;1.632
optim_instances/Instance_MAP6B_0_1.dat;92;84;160;1.247;160;1.247
optim_instances/Instance_MAP6B_0_2.dat;92;84;1780;0.644;1780;0.644
optim_instances/Instance_MAP6B_0_3.dat;92;84;130;1.523;130;1.523
optim_instances/Instance_MAP6B_1_1.dat;112;155;430;0.959;430;0.959
optim_instances/Instance_MAP6B_1_2.dat;112;155;2460;0.624;2460;0.624
optim_instances/Instance_MAP6B_1_3.dat;112;155;580;1.923;580;1.923
optim_instances/Instance_MAP6B_2_1.dat;181;175;370;8.968;370;8.968
optim_instances/Instance_MAP6B_2_2.dat;181;175;2680;6.555;2680;6.555
optim_instances/Instance_MAP6B_2_3.dat;181;175;1520;56.205;1520;362.782
