Channels number:3
Time limit (s)3600
Instance name ;|I| ;|J|; CPLEX LB; CPLEX UB; CPLEX time
optim_instances/Instance_MAP1A_0_1.dat;19;13;30;30;0.595
optim_instances/Instance_MAP1A_0_2.dat;19;13;230;230;0.086
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;30;0.616
optim_instances/Instance_MAP1A_1_1.dat;13;23;20;20;0.842
optim_instances/Instance_MAP1A_1_2.dat;13;23;40;40;0.161
optim_instances/Instance_MAP1A_1_3.dat;13;23;20;20;1.868
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;40;3.626
optim_instances/Instance_MAP1A_2_2.dat;30;24;70;70;0.452
optim_instances/Instance_MAP1A_2_3.dat;30;24;40;40;14.482
optim_instances/Instance_MAP2A_0_1.dat;22;24;50;50;0.356
optim_instances/Instance_MAP2A_0_2.dat;22;24;780;780;0.077
optim_instances/Instance_MAP2A_0_3.dat;22;24;30;30;1.604
optim_instances/Instance_MAP2A_1_1.dat;39;35;90;90;1.723
optim_instances/Instance_MAP2A_1_2.dat;39;35;790;790;0.224
optim_instances/Instance_MAP2A_1_3.dat;39;35;60;60;14.359
optim_instances/Instance_MAP2A_2_1.dat;47;56;80;80;5.358
optim_instances/Instance_MAP2A_2_2.dat;47;56;370;370;0.934
optim_instances/Instance_MAP2A_2_3.dat;47;56;60;60;26.577
optim_instances/Instance_MAP3A_0_1.dat;18;25;40;40;0.704
optim_instances/Instance_MAP3A_0_2.dat;18;25;280;280;0.285
optim_instances/Instance_MAP3A_0_3.dat;18;25;30;30;3.093
optim_instances/Instance_MAP3A_1_1.dat;45;40;60;60;133.214
optim_instances/Instance_MAP3A_1_2.dat;45;40;230;230;34.536
optim_instances/Instance_MAP3A_1_3.dat;45;40;60;60;99.678
optim_instances/Instance_MAP3A_2_1.dat;73;62;110;110;1603.45
optim_instances/Instance_MAP3A_2_2.dat;73;62;967.244;1360;3601.25
optim_instances/Instance_MAP3A_2_3.dat;73;62;105;210;3609.43
optim_instances/Instance_MAP4A_0_1.dat;26;38;40;40;1.065
optim_instances/Instance_MAP4A_0_2.dat;26;38;190;190;0.581
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;40;8.021
optim_instances/Instance_MAP4A_1_1.dat;41;36;160;160;1.176
optim_instances/Instance_MAP4A_1_2.dat;41;36;1090;1090;0.249
optim_instances/Instance_MAP4A_1_3.dat;41;36;370;370;13.405
optim_instances/Instance_MAP4A_2_1.dat;56;41;170;170;2.507
optim_instances/Instance_MAP4A_2_2.dat;56;41;1130;1130;0.306
optim_instances/Instance_MAP4A_2_3.dat;56;41;90;90;16.459
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;130;24.314
optim_instances/Instance_MAP5A_0_2.dat;45;39;730;730;4.045
optim_instances/Instance_MAP5A_0_3.dat;45;39;580;580;1069.53
optim_instances/Instance_MAP5A_1_1.dat;78;70;123.75;150;3604.15
optim_instances/Instance_MAP5A_1_2.dat;78;70;240;240;914.197
optim_instances/Instance_MAP5A_1_3.dat;78;70;120;120;339.1
optim_instances/Instance_MAP5A_2_1.dat;101;115;210;210;97.391
optim_instances/Instance_MAP5A_2_2.dat;101;115;440;440;43.219
optim_instances/Instance_MAP5A_2_3.dat;101;115;177.5;190;3617.97
optim_instances/Instance_MAP6A_0_1.dat;92;84;170;170;3605.91
optim_instances/Instance_MAP6A_0_2.dat;92;84;1410;1410;3502.69
optim_instances/Instance_MAP6A_0_3.dat;92;84;218.75;260;3613.16
optim_instances/Instance_MAP6A_1_1.dat;112;155;430;430;146.024
optim_instances/Instance_MAP6A_1_2.dat;112;155;2890;2890;1789.84
optim_instances/Instance_MAP6A_1_3.dat;112;155;676.25;970;3638.13
optim_instances/Instance_MAP6A_2_1.dat;181;175;342.5;610;3667.01
optim_instances/Instance_MAP6A_2_2.dat;181;175;2521.69;4210;3619.35
optim_instances/Instance_MAP6A_2_3.dat;181;175;1221.25;17910;3791.08
optim_instances/Instance_MAP1B_0_1.dat;19;13;30;30;0.489
optim_instances/Instance_MAP1B_0_2.dat;19;13;140;140;0.141
optim_instances/Instance_MAP1B_0_3.dat;19;13;30;30;0.769
