Channels number ;3
Perturbation : 2
Instance name ;|I| ;|J|; H-inf value; H-inf time ; H-inf-reg value ; H-inf-reg time 
optim_instances/Instance_MAP1A_0_1.dat;19;13;30;0.569;30;0.569
optim_instances/Instance_MAP1A_0_2.dat;19;13;140;0.049;40;0.086
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;0.04;30;0.04
optim_instances/Instance_MAP1A_1_1.dat;13;23;20;0.023;20;0.023
optim_instances/Instance_MAP1A_1_2.dat;13;23;40;0.029;40;0.029
optim_instances/Instance_MAP1A_1_3.dat;13;23;20;0.029;20;0.029
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;0.127;40;0.127
optim_instances/Instance_MAP1A_2_2.dat;30;24;170;0.086;70;0.174
optim_instances/Instance_MAP1A_2_3.dat;30;24;140;0.341;40;0.883
optim_instances/Instance_MAP2A_0_1.dat;22;24;60;0.06;50;0.26
optim_instances/Instance_MAP2A_0_2.dat;22;24;590;0.066;500;0.124
optim_instances/Instance_MAP2A_0_3.dat;22;24;30;0.044;30;0.044
optim_instances/Instance_MAP2A_1_1.dat;39;35;100;0.112;90;0.601
optim_instances/Instance_MAP2A_1_2.dat;39;35;880;0.097;790;0.278
optim_instances/Instance_MAP2A_1_3.dat;39;35;60;0.301;60;0.301
optim_instances/Instance_MAP2A_2_1.dat;47;56;90;0.131;80;5.967
optim_instances/Instance_MAP2A_2_2.dat;47;56;270;0.118;270;0.118
optim_instances/Instance_MAP2A_2_3.dat;47;56;850;0.723;60;3.078
optim_instances/Instance_MAP3A_0_1.dat;18;25;40;0.052;40;0.053
optim_instances/Instance_MAP3A_0_2.dat;18;25;450;0.064;360;3.809
optim_instances/Instance_MAP3A_0_3.dat;18;25;30;0.036;30;0.036
optim_instances/Instance_MAP3A_1_1.dat;45;40;160;0.62;110;4.558
optim_instances/Instance_MAP3A_1_2.dat;45;40;700;0.325;610;4.621
optim_instances/Instance_MAP3A_1_3.dat;45;40;1350;0.703;360;5.798
optim_instances/Instance_MAP3A_2_1.dat;73;62;280;1.748;190;62.385
optim_instances/Instance_MAP3A_2_2.dat;73;62;2760;19.576;2150;25.572
optim_instances/Instance_MAP3A_2_3.dat;73;62;3870;15.35;710;75.936
optim_instances/Instance_MAP4A_0_1.dat;26;38;40;0.056;40;0.056
optim_instances/Instance_MAP4A_0_2.dat;26;38;190;0.058;190;0.058
optim_instances/Instance_MAP4A_0_3.dat;26;38;240;0.145;40;0.656
optim_instances/Instance_MAP4A_1_1.dat;41;36;160;0.084;160;0.084
optim_instances/Instance_MAP4A_1_2.dat;41;36;1090;0.077;1090;0.077
optim_instances/Instance_MAP4A_1_3.dat;41;36;370;0.078;370;0.079
optim_instances/Instance_MAP4A_2_1.dat;56;41;180;0.226;180;3.752
optim_instances/Instance_MAP4A_2_2.dat;56;41;1220;0.149;1130;0.343
