Channels number:6
Instance name ;|I| ;|J|;GH1 UB; GH1 time;GH2 UB; GH2 time 
optim_instances/Instance_MAP1A_0_1.dat;19;13;30;0;30;0.009
optim_instances/Instance_MAP1A_0_2.dat;19;13;60;0;40;0.008
optim_instances/Instance_MAP1A_0_3.dat;19;13;40;0;30;0.007
optim_instances/Instance_MAP1A_1_1.dat;13;23;30;0;20;0.02
optim_instances/Instance_MAP1A_1_2.dat;13;23;40;0;40;0.018
optim_instances/Instance_MAP1A_1_3.dat;13;23;30;0.001;20;0.014
optim_instances/Instance_MAP1A_2_1.dat;30;24;50;0.001;50;0.021
optim_instances/Instance_MAP1A_2_2.dat;30;24;90;0.001;70;0.023
optim_instances/Instance_MAP1A_2_3.dat;30;24;50;0.001;40;0.021
optim_instances/Instance_MAP2A_0_1.dat;22;24;50;0;50;0.021
optim_instances/Instance_MAP2A_0_2.dat;22;24;500;0.001;500;0.025
optim_instances/Instance_MAP2A_0_3.dat;22;24;40;0;30;0.016
optim_instances/Instance_MAP2A_1_1.dat;39;35;100;0.002;100;0.068
optim_instances/Instance_MAP2A_1_2.dat;39;35;790;0.002;790;0.112
optim_instances/Instance_MAP2A_1_3.dat;39;35;70;0.002;70;0.062
optim_instances/Instance_MAP2A_2_1.dat;47;56;90;0.004;80;0.271
optim_instances/Instance_MAP2A_2_2.dat;47;56;290;0.005;270;0.36
optim_instances/Instance_MAP2A_2_3.dat;47;56;80;0.004;70;0.255
optim_instances/Instance_MAP3A_0_1.dat;18;25;40;0;40;0.016
optim_instances/Instance_MAP3A_0_2.dat;18;25;300;0;270;0.022
optim_instances/Instance_MAP3A_0_3.dat;18;25;30;0.001;30;0.029
optim_instances/Instance_MAP3A_1_1.dat;45;40;90;0.005;70;0.144
optim_instances/Instance_MAP3A_1_2.dat;45;40;140;0.003;120;0.14
optim_instances/Instance_MAP3A_1_3.dat;45;40;60;0.003;60;0.133
optim_instances/Instance_MAP3A_2_1.dat;73;62;150;0.008;120;0.529
optim_instances/Instance_MAP3A_2_2.dat;73;62;930;0.011;900;0.7
optim_instances/Instance_MAP3A_2_3.dat;73;62;120;0.009;110;0.546
optim_instances/Instance_MAP4A_0_1.dat;26;38;40;0.001;40;0.069
optim_instances/Instance_MAP4A_0_2.dat;26;38;190;0.002;190;0.084
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;0.001;40;0.062
optim_instances/Instance_MAP4A_1_1.dat;41;36;170;0.002;160;0.094
optim_instances/Instance_MAP4A_1_2.dat;41;36;1090;0.003;1090;0.143
optim_instances/Instance_MAP4A_1_3.dat;41;36;400;0.002;380;0.076
optim_instances/Instance_MAP4A_2_1.dat;56;41;200;0.005;180;0.203
optim_instances/Instance_MAP4A_2_2.dat;56;41;1240;0.006;1130;0.262
optim_instances/Instance_MAP4A_2_3.dat;56;41;130;0.004;100;0.16
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;0.003;130;0.118
optim_instances/Instance_MAP5A_0_2.dat;45;39;660;0.003;630;0.122
optim_instances/Instance_MAP5A_0_3.dat;45;39;580;0.002;580;0.106
optim_instances/Instance_MAP5A_1_1.dat;78;70;160;0.013;150;0.831
optim_instances/Instance_MAP5A_1_2.dat;78;70;230;0.013;210;0.96
optim_instances/Instance_MAP5A_1_3.dat;78;70;140;0.011;120;0.786
optim_instances/Instance_MAP5A_2_1.dat;101;115;230;0.037;220;3.889
optim_instances/Instance_MAP5A_2_2.dat;101;115;470;0.044;460;5.29
optim_instances/Instance_MAP5A_2_3.dat;101;115;200;0.031;190;3.451
optim_instances/Instance_MAP6A_0_1.dat;92;84;220;0.018;190;1.486
optim_instances/Instance_MAP6A_0_2.dat;92;84;1280;0.023;1180;1.998
optim_instances/Instance_MAP6A_0_3.dat;92;84;270;0.016;240;1.27
optim_instances/Instance_MAP6A_1_1.dat;112;155;490;0.054;450;8.645
optim_instances/Instance_MAP6A_1_2.dat;112;155;2870;0.08;2860;13.397
optim_instances/Instance_MAP6A_1_3.dat;112;155;760;0.048;730;7.089
optim_instances/Instance_MAP6A_2_1.dat;181;175;450;0.127;400;20.155
optim_instances/Instance_MAP6A_2_2.dat;181;175;3370;0.155;2550;27.006
optim_instances/Instance_MAP6A_2_3.dat;181;175;1380;0.106;1260;18.053
optim_instances/Instance_MAP1B_0_1.dat;19;13;30;0;30;0.004
optim_instances/Instance_MAP1B_0_2.dat;19;13;150;0;150;0.004
optim_instances/Instance_MAP1B_0_3.dat;19;13;40;0;30;0.004
optim_instances/Instance_MAP1B_1_1.dat;13;23;30;0;30;0.012
optim_instances/Instance_MAP1B_1_2.dat;13;23;60;0;50;0.013
optim_instances/Instance_MAP1B_1_3.dat;13;23;20;0;20;0.011
optim_instances/Instance_MAP1B_2_1.dat;30;24;60;0.001;50;0.021
optim_instances/Instance_MAP1B_2_2.dat;30;24;100;0;80;0.024
optim_instances/Instance_MAP1B_2_3.dat;30;24;50;0;40;0.022
optim_instances/Instance_MAP2B_0_1.dat;22;24;60;0;50;0.018
optim_instances/Instance_MAP2B_0_2.dat;22;24;290;0;280;0.022
optim_instances/Instance_MAP2B_0_3.dat;22;24;50;0;30;0.016
optim_instances/Instance_MAP2B_1_1.dat;39;35;110;0.002;100;0.067
optim_instances/Instance_MAP2B_1_2.dat;39;35;870;0.002;870;0.096
optim_instances/Instance_MAP2B_1_3.dat;39;35;80;0.001;70;0.06
optim_instances/Instance_MAP2B_2_1.dat;47;56;100;0.004;90;0.248
optim_instances/Instance_MAP2B_2_2.dat;47;56;320;0.006;290;0.358
optim_instances/Instance_MAP2B_2_3.dat;47;56;80;0.004;70;0.236
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;0;50;0.017
optim_instances/Instance_MAP3B_0_2.dat;18;25;310;0;300;0.023
optim_instances/Instance_MAP3B_0_3.dat;18;25;30;0;30;0.015
optim_instances/Instance_MAP3B_1_1.dat;45;40;60;0.003;60;0.124
optim_instances/Instance_MAP3B_1_2.dat;45;40;260;0.003;240;0.141
optim_instances/Instance_MAP3B_1_3.dat;45;40;70;0.003;60;0.126
optim_instances/Instance_MAP3B_2_1.dat;73;62;130;0.009;130;0.528
optim_instances/Instance_MAP3B_2_2.dat;73;62;1100;0.01;1070;0.617
optim_instances/Instance_MAP3B_2_3.dat;73;62;100;0.009;100;0.513
optim_instances/Instance_MAP4B_0_1.dat;26;38;60;0.001;60;0.066
optim_instances/Instance_MAP4B_0_2.dat;26;38;290;0.002;280;0.081
optim_instances/Instance_MAP4B_0_3.dat;26;38;40;0.001;40;0.06
optim_instances/Instance_MAP4B_1_1.dat;41;36;170;0.002;160;0.095
optim_instances/Instance_MAP4B_1_2.dat;41;36;1370;0.003;1270;0.129
optim_instances/Instance_MAP4B_1_3.dat;41;36;410;0.002;380;0.075
optim_instances/Instance_MAP4B_2_1.dat;56;41;200;0.004;200;0.194
optim_instances/Instance_MAP4B_2_2.dat;56;41;1540;0.006;1340;0.256
optim_instances/Instance_MAP4B_2_3.dat;56;41;140;0.003;110;0.15
optim_instances/Instance_MAP5B_0_1.dat;45;39;140;0.003;130;0.111
optim_instances/Instance_MAP5B_0_2.dat;45;39;870;0.003;860;0.125
optim_instances/Instance_MAP5B_0_3.dat;45;39;570;0.002;570;0.101
optim_instances/Instance_MAP5B_1_1.dat;78;70;170;0.012;150;0.783
optim_instances/Instance_MAP5B_1_2.dat;78;70;250;0.013;230;0.939
optim_instances/Instance_MAP5B_1_3.dat;78;70;130;0.01;120;0.748
optim_instances/Instance_MAP5B_2_1.dat;101;115;260;0.033;220;3.826
optim_instances/Instance_MAP5B_2_2.dat;101;115;590;0.045;460;5.17
optim_instances/Instance_MAP5B_2_3.dat;101;115;310;0.033;290;3.553
optim_instances/Instance_MAP6B_0_1.dat;92;84;240;0.018;190;1.517
optim_instances/Instance_MAP6B_0_2.dat;92;84;1920;0.027;1790;2.141
optim_instances/Instance_MAP6B_0_3.dat;92;84;170;0.016;150;1.386
optim_instances/Instance_MAP6B_1_1.dat;112;155;490;0.054;450;9.077
optim_instances/Instance_MAP6B_1_2.dat;112;155;2480;0.097;2480;14.915
optim_instances/Instance_MAP6B_1_3.dat;112;155;680;0.049;630;7.265
optim_instances/Instance_MAP6B_2_1.dat;181;175;500;0.121;430;20.785
optim_instances/Instance_MAP6B_2_2.dat;181;175;2950;0.176;2720;32.252
optim_instances/Instance_MAP6B_2_3.dat;181;175;1310;0.095;1280;17.6
