Channels number ;3
Perturbation : 1.5
Instance name ;|I| ;|J|; H-inf value; H-inf time ; H-inf-reg value ; H-inf-reg time 
optim_instances/Instance_MAP1A_0_1.dat;19;13;30;0.065;30;0.065
optim_instances/Instance_MAP1A_0_2.dat;19;13;140;0.049;40;0.087
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;0.039;30;0.039
optim_instances/Instance_MAP1A_1_1.dat;13;23;20;0.024;20;0.024
optim_instances/Instance_MAP1A_1_2.dat;13;23;40;0.029;40;0.029
optim_instances/Instance_MAP1A_1_3.dat;13;23;20;0.03;20;0.03
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;0.13;40;0.13
optim_instances/Instance_MAP1A_2_2.dat;30;24;170;0.083;70;0.172
optim_instances/Instance_MAP1A_2_3.dat;30;24;140;0.333;40;0.868
optim_instances/Instance_MAP2A_0_1.dat;22;24;60;0.087;50;0.299
optim_instances/Instance_MAP2A_0_2.dat;22;24;590;0.059;500;0.117
optim_instances/Instance_MAP2A_0_3.dat;22;24;30;0.045;30;0.045
optim_instances/Instance_MAP2A_1_1.dat;39;35;100;0.149;90;0.646
optim_instances/Instance_MAP2A_1_2.dat;39;35;880;0.088;790;0.262
optim_instances/Instance_MAP2A_1_3.dat;39;35;60;0.234;60;0.234
optim_instances/Instance_MAP2A_2_1.dat;47;56;90;0.127;80;5.95
optim_instances/Instance_MAP2A_2_2.dat;47;56;270;0.123;270;0.123
optim_instances/Instance_MAP2A_2_3.dat;47;56;850;0.796;60;3.112
optim_instances/Instance_MAP3A_0_1.dat;18;25;40;0.034;40;0.034
optim_instances/Instance_MAP3A_0_2.dat;18;25;450;0.058;360;3.679
optim_instances/Instance_MAP3A_0_3.dat;18;25;30;0.039;30;0.039
optim_instances/Instance_MAP3A_1_1.dat;45;40;160;0.949;100;5.998
optim_instances/Instance_MAP3A_1_2.dat;45;40;700;0.327;610;4.71
optim_instances/Instance_MAP3A_1_3.dat;45;40;1350;0.758;260;5.782
optim_instances/Instance_MAP3A_2_1.dat;73;62;280;1.727;180;62.434
optim_instances/Instance_MAP3A_2_2.dat;73;62;2760;19.881;2150;25.94
