Channels number ;3
Perturbation : 1.2
Instance name ;|I| ;|J|;RH1 UB;RH1 time;RH2 UB;RH2 time
optim_instances/Instance_MAP1A_0_1.dat;19;13;40;0.062;40;0.062
optim_instances/Instance_MAP1A_0_2.dat;19;13;160;0.029;160;0.03
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;0.03;30;0.03
optim_instances/Instance_MAP1A_1_1.dat;13;23;40;0.023;40;0.023
optim_instances/Instance_MAP1A_1_2.dat;13;23;80;0.026;80;0.026
optim_instances/Instance_MAP1A_1_3.dat;13;23;30;0.334;30;0.334
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;0.028;40;0.028
optim_instances/Instance_MAP1A_2_2.dat;30;24;220;0.046;220;0.046
optim_instances/Instance_MAP1A_2_3.dat;30;24;630;0.031;40;0.175
optim_instances/Instance_MAP2A_0_1.dat;22;24;60;0.031;60;0.031
optim_instances/Instance_MAP2A_0_2.dat;22;24;700;0.061;700;3.681
optim_instances/Instance_MAP2A_0_3.dat;22;24;40;0.036;40;0.036
optim_instances/Instance_MAP2A_1_1.dat;39;35;140;0.047;140;0.047
optim_instances/Instance_MAP2A_1_2.dat;39;35;980;0.103;890;0.262
optim_instances/Instance_MAP2A_1_3.dat;39;35;80;0.093;80;0.093
optim_instances/Instance_MAP2A_2_1.dat;47;56;110;0.069;110;0.069
optim_instances/Instance_MAP2A_2_2.dat;47;56;520;0.198;430;0.728
optim_instances/Instance_MAP2A_2_3.dat;47;56;70;0.552;70;0.552
optim_instances/Instance_MAP3A_0_1.dat;18;25;50;0.028;50;0.028
optim_instances/Instance_MAP3A_0_2.dat;18;25;280;0.034;280;0.034
optim_instances/Instance_MAP3A_0_3.dat;18;25;40;0.026;40;0.026
optim_instances/Instance_MAP3A_1_1.dat;45;40;70;0.121;70;0.121
optim_instances/Instance_MAP3A_1_2.dat;45;40;130;0.072;130;0.072
optim_instances/Instance_MAP3A_1_3.dat;45;40;360;0.576;60;1.65
optim_instances/Instance_MAP3A_2_1.dat;73;62;160;0.288;160;0.288
optim_instances/Instance_MAP3A_2_2.dat;73;62;1470;0.3;1090;4.142
optim_instances/Instance_MAP3A_2_3.dat;73;62;330;1.478;130;61.868
optim_instances/Instance_MAP4A_0_1.dat;26;38;60;0.044;60;0.044
optim_instances/Instance_MAP4A_0_2.dat;26;38;400;0.129;210;0.311
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;0.068;40;0.068
optim_instances/Instance_MAP4A_1_1.dat;41;36;190;0.088;190;0.088
optim_instances/Instance_MAP4A_1_2.dat;41;36;1010;0.058;1010;0.058
optim_instances/Instance_MAP4A_1_3.dat;41;36;380;0.053;380;0.053
optim_instances/Instance_MAP4A_2_1.dat;56;41;210;0.124;210;0.124
optim_instances/Instance_MAP4A_2_2.dat;56;41;1630;0.07;1630;0.07
optim_instances/Instance_MAP4A_2_3.dat;56;41;230;1.185;130;2.023
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;0.099;130;0.099
optim_instances/Instance_MAP5A_0_2.dat;45;39;1200;0.174;910;3.862
