Channels number:3
Instance name ;|I| ;|J|;GH1 UB;GH1 time;GH2 UB;GH2 time
optim_instances/Instance_MAP1A_0_1.dat;19;13;40;0;40;0.007
optim_instances/Instance_MAP1A_0_2.dat;19;13;170;0;160;0.008
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;0;30;0.006
optim_instances/Instance_MAP1A_1_1.dat;13;23;40;0;40;0.017
optim_instances/Instance_MAP1A_1_2.dat;13;23;80;0;80;0.02
optim_instances/Instance_MAP1A_1_3.dat;13;23;30;0;30;0.012
optim_instances/Instance_MAP1A_2_1.dat;30;24;60;0.001;50;0.02
optim_instances/Instance_MAP1A_2_2.dat;30;24;220;0;220;0.022
optim_instances/Instance_MAP1A_2_3.dat;30;24;60;0;40;0.016
optim_instances/Instance_MAP2A_0_1.dat;22;24;70;0;60;0.014
optim_instances/Instance_MAP2A_0_2.dat;22;24;790;0;790;0.018
optim_instances/Instance_MAP2A_0_3.dat;22;24;50;0;40;0.012
optim_instances/Instance_MAP2A_1_1.dat;39;35;140;0.001;140;0.06
optim_instances/Instance_MAP2A_1_2.dat;39;35;900;0.002;890;0.12
optim_instances/Instance_MAP2A_1_3.dat;39;35;110;0.003;90;0.073
optim_instances/Instance_MAP2A_2_1.dat;47;56;120;0.004;120;0.319
optim_instances/Instance_MAP2A_2_2.dat;47;56;530;0.007;450;0.389
optim_instances/Instance_MAP2A_2_3.dat;47;56;90;0.004;80;0.206
optim_instances/Instance_MAP3A_0_1.dat;18;25;50;0;50;0.012
optim_instances/Instance_MAP3A_0_2.dat;18;25;280;0;280;0.017
optim_instances/Instance_MAP3A_0_3.dat;18;25;40;0;40;0.011
optim_instances/Instance_MAP3A_1_1.dat;45;40;90;0.002;80;0.1
optim_instances/Instance_MAP3A_1_2.dat;45;40;230;0.002;130;0.12
optim_instances/Instance_MAP3A_1_3.dat;45;40;460;0.003;60;0.137
optim_instances/Instance_MAP3A_2_1.dat;73;62;160;0.007;160;0.507
optim_instances/Instance_MAP3A_2_2.dat;73;62;1110;0.009;1010;0.648
optim_instances/Instance_MAP3A_2_3.dat;73;62;250;0.007;140;0.441
optim_instances/Instance_MAP4A_0_1.dat;26;38;60;0.001;60;0.049
optim_instances/Instance_MAP4A_0_2.dat;26;38;210;0.001;210;0.067
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;0.001;40;0.047
optim_instances/Instance_MAP4A_1_1.dat;41;36;210;0.002;190;0.074
optim_instances/Instance_MAP4A_1_2.dat;41;36;1010;0.004;1010;0.173
optim_instances/Instance_MAP4A_1_3.dat;41;36;400;0.001;390;0.063
optim_instances/Instance_MAP4A_2_1.dat;56;41;220;0.004;210;0.183
optim_instances/Instance_MAP4A_2_2.dat;56;41;1630;0.006;1630;0.276
optim_instances/Instance_MAP4A_2_3.dat;56;41;150;0.003;130;0.144
optim_instances/Instance_MAP5A_0_1.dat;45;39;150;0.002;130;0.085
optim_instances/Instance_MAP5A_0_2.dat;45;39;830;0.002;720;0.092
optim_instances/Instance_MAP5A_0_3.dat;45;39;600;0.002;580;0.079
optim_instances/Instance_MAP5A_1_1.dat;78;70;150;0.009;150;0.632
optim_instances/Instance_MAP5A_1_2.dat;78;70;600;0.01;410;0.727
optim_instances/Instance_MAP5A_1_3.dat;78;70;730;0.009;130;0.599
optim_instances/Instance_MAP5A_2_1.dat;101;115;230;0.026;220;3.14
optim_instances/Instance_MAP5A_2_2.dat;101;115;940;0.039;650;4.143
optim_instances/Instance_MAP5A_2_3.dat;101;115;790;0.025;190;2.829
optim_instances/Instance_MAP6A_0_1.dat;92;84;300;0.014;200;1.201
optim_instances/Instance_MAP6A_0_2.dat;92;84;2040;0.018;1660;1.589
optim_instances/Instance_MAP6A_0_3.dat;92;84;1840;0.013;280;1.144
optim_instances/Instance_MAP6A_1_1.dat;112;155;500;0.052;480;7.698
optim_instances/Instance_MAP6A_1_2.dat;112;155;3540;0.081;3180;11.177
optim_instances/Instance_MAP6A_1_3.dat;112;155;1460;0.041;870;7.544
optim_instances/Instance_MAP6A_2_1.dat;181;175;480;0.105;460;17.54
optim_instances/Instance_MAP6A_2_2.dat;181;175;5560;0.127;4430;21.358
optim_instances/Instance_MAP6A_2_3.dat;181;175;4540;0.09;2970;15.131
optim_instances/Instance_MAP1B_0_1.dat;19;13;40;0;40;0.003
optim_instances/Instance_MAP1B_0_2.dat;19;13;170;0;170;0.004
optim_instances/Instance_MAP1B_0_3.dat;19;13;30;0;30;0.003
optim_instances/Instance_MAP1B_1_1.dat;13;23;40;0;40;0.01
optim_instances/Instance_MAP1B_1_2.dat;13;23;180;0;170;0.013
optim_instances/Instance_MAP1B_1_3.dat;13;23;30;0;30;0.009
optim_instances/Instance_MAP1B_2_1.dat;30;24;60;0;60;0.019
optim_instances/Instance_MAP1B_2_2.dat;30;24;120;0.001;120;0.025
optim_instances/Instance_MAP1B_2_3.dat;30;24;80;0;40;0.017
optim_instances/Instance_MAP2B_0_1.dat;22;24;70;0;60;0.015
optim_instances/Instance_MAP2B_0_2.dat;22;24;500;0;400;0.021
optim_instances/Instance_MAP2B_0_3.dat;22;24;60;0;40;0.014
optim_instances/Instance_MAP2B_1_1.dat;39;35;140;0.002;130;0.069
optim_instances/Instance_MAP2B_1_2.dat;39;35;1090;0.002;1090;0.101
optim_instances/Instance_MAP2B_1_3.dat;39;35;100;0.001;90;0.055
optim_instances/Instance_MAP2B_2_1.dat;47;56;140;0.004;130;0.235
optim_instances/Instance_MAP2B_2_2.dat;47;56;810;0.007;710;0.388
optim_instances/Instance_MAP2B_2_3.dat;47;56;90;0.003;80;0.209
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;0;50;0.013
optim_instances/Instance_MAP3B_0_2.dat;18;25;310;0;310;0.02
optim_instances/Instance_MAP3B_0_3.dat;18;25;50;0;40;0.012
optim_instances/Instance_MAP3B_1_1.dat;45;40;90;0.002;70;0.106
optim_instances/Instance_MAP3B_1_2.dat;45;40;240;0.003;240;0.134
optim_instances/Instance_MAP3B_1_3.dat;45;40;80;0.002;60;0.104
optim_instances/Instance_MAP3B_2_1.dat;73;62;170;0.008;170;0.502
optim_instances/Instance_MAP3B_2_2.dat;73;62;1270;0.009;1080;0.588
optim_instances/Instance_MAP3B_2_3.dat;73;62;140;0.008;140;0.493
optim_instances/Instance_MAP4B_0_1.dat;26;38;70;0.001;70;0.057
optim_instances/Instance_MAP4B_0_2.dat;26;38;400;0.002;320;0.078
optim_instances/Instance_MAP4B_0_3.dat;26;38;40;0.001;40;0.049
optim_instances/Instance_MAP4B_1_1.dat;41;36;200;0.002;180;0.085
optim_instances/Instance_MAP4B_1_2.dat;41;36;1480;0.004;1480;0.149
optim_instances/Instance_MAP4B_1_3.dat;41;36;410;0.002;410;0.076
optim_instances/Instance_MAP4B_2_1.dat;56;41;240;0.005;230;0.203
optim_instances/Instance_MAP4B_2_2.dat;56;41;2010;0.006;1920;0.268
optim_instances/Instance_MAP4B_2_3.dat;56;41;180;0.004;150;0.164
optim_instances/Instance_MAP5B_0_1.dat;45;39;140;0.002;130;0.093
optim_instances/Instance_MAP5B_0_2.dat;45;39;1230;0.002;1040;0.104
optim_instances/Instance_MAP5B_0_3.dat;45;39;670;0.002;570;0.084
optim_instances/Instance_MAP5B_1_1.dat;78;70;150;0.01;150;0.683
optim_instances/Instance_MAP5B_1_2.dat;78;70;620;0.011;430;0.812
optim_instances/Instance_MAP5B_1_3.dat;78;70;720;0.009;110;0.639
optim_instances/Instance_MAP5B_2_1.dat;101;115;250;0.032;220;3.379
optim_instances/Instance_MAP5B_2_2.dat;101;115;1310;0.036;1020;4.071
optim_instances/Instance_MAP5B_2_3.dat;101;115;310;0.027;290;2.918
optim_instances/Instance_MAP6B_0_1.dat;92;84;230;0.014;200;1.216
